"Status","Comment"
"Not SATD","// @nextcloud/webpack-vue-config globals"
"Not SATD","// Desktop build globals"
"Not SATD","// group @nextcloud imports"
"Not SATD","// group @nextcloud/vue imports"
"Not SATD","// group all style imports at the end"
"Not SATD","// group material design icons"
"Not SATD","// group project components"
"Not SATD","//' + url.slice(7)"
"Not SATD","//' + url.slice(8)"
"Not SATD","//' + window.location.host"
"Not SATD","// Brief disconnections are normal and expected; they are only"
"Not SATD","// Brief disconnections are normal and expected; they are only"
"Not SATD","// clustering is enabled."
"Not SATD","// connected several times to the HPB."
"Not SATD","// conversation to not be kicked out from the signaling server. However, joining"
"Not SATD","// Data channels are expected to be available for call participants."
"Not SATD","// different publishers."
"Not SATD","// Expose publishers to CLI."
"Not SATD","// Expose subscribers to CLI."
"Not SATD","// Expose virtual participant to CLI."
"Not SATD","// For simplicity it is assumed that if audio is enabled the audio"
"Not SATD","// For simplicity it is assumed that if audio is not enabled the video"
"Not SATD","// host is directly got from the current location."
"Not SATD","// Number of streams to receive"
"Not SATD","// Number of streams to send"
"Not SATD","// Regular users do not need to join the conversation, so the same user can be"
"Not SATD","// relevant if the connection has not been restored after some"
"Not SATD","// relevant if the connection has not been restored after some"
"Not SATD","// seconds."
"Not SATD","// seconds."
"Not SATD","// sender will always be the first one, otherwise the second one."
"Not SATD","// sender will always be the first one."
"Not SATD","// Sieges with guest users do not currently work, as they must join the"
"Not SATD","// target Nextcloud instance, as cross-doman requests are not allowed, so the"
"Not SATD","// the conversation a second time causes the first guest to be unregistered."
"Not SATD","// The conversation token is only strictly needed for guests or if HPB"
"Not SATD","// The same signaling session can be shared between subscribers to"
"Not SATD","// There will be at most a single audio track."
"Not SATD","// There will be at most a single video track."
"Not SATD","// To run the script the current page in the browser must be a page of the"
"Not SATD","                # are second based."
"Not SATD","                # JavaScript timestamps are millisecond based, Python timestamps"
"Not SATD","            # created in ""/tmp""."
"Not SATD","            # disabling them again."
"Not SATD","            # disabling them again."
"Not SATD","            # driver are usually caused by not having enough space in ""/dev/shm"""
"Not SATD","            # Error messages like ""Failed to fetch"" or crashes when starting the"
"Not SATD","            # Give it some time to receive the last real time logs before"
"Not SATD","            # Give it some time to receive the last real time logs before"
"Not SATD","            # If the device selector is shown click on the ""Join call"" button"
"Not SATD","            # in the dialog to actually join the call."
"Not SATD","            # observed during some tests."
"Not SATD","            # or in ""/tmp""."
"Not SATD","            # space. The limit is set to 64 MiB just based on the memory usage"
"Not SATD","            # strictly needed, so it can be disabled if there is not enough free"
"Not SATD","            # The session must be explicitly quit to remove the temporary files"
"Not SATD","            # Using ""/dev/shm"" provides better performance, but it is not"
"Not SATD","        # ""Origin"" header is present; logs show:"
"Not SATD","        # ""The handshake request has incorrect Origin header""."
"Not SATD","        # ""webSocketUrl"" is needed for BiDi; this should be set already by"
"Not SATD","        # Add an explicit return point at the end of the script if none is"
"Not SATD","        # Adjust script timeout to prevent it from ending before the siege has"
"Not SATD","        # Asynchronous scripts need to explicitly signal that they are finished"
"Not SATD","        # await is not valid in the root context in Firefox, so the script to be"
"Not SATD","        # by invoking the callback injected as the last argument."
"Not SATD","        # Clear previous logs"
"Not SATD","        # default, but just in case."
"Not SATD","        # Do not return until the existing logs were fetched, except if it is"
"Not SATD","        # enabled."
"Not SATD","        # executed needs to be wrapped in an async function."
"Not SATD","        # Explicitly assign all the needed functions defined in Talkbuchet.js to"
"Not SATD","        # Fetching a Nextcloud URL in the browser console with a user and an app"
"Not SATD","        # given."
"Not SATD","        # Headless mode uses a little less memory on each instance, so it is"
"Not SATD","        # Headless mode uses a little less memory on each instance, so it is"
"Not SATD","        # https://bugzilla.mozilla.org/show_bug.cgi?id=1753997"
"Not SATD","        # https://www.selenium.dev/documentation/legacy/json_wire_protocol/#sessionsessionidexecute_async"
"Not SATD","        # In Firefox < 101 BiDi protocol was not enabled by default, although it"
"Not SATD","        # Nextcloud server will be done as a logged in user after that."
"Not SATD","        # Real time logs are enabled while the command is being executed."
"Not SATD","        # Real time logs are enabled while the command is being executed."
"Not SATD","        # Set default values from Talkbuchet.js."
"Not SATD","        # specially useful when there are several virtual participants."
"Not SATD","        # specially useful when there are several virtual participants."
"Not SATD","        # started."
"Not SATD","        # taking too long."
"Not SATD","        # the Window object to be able to access them at a later point."
"Not SATD","        # token implicitly does a login with that user. Visiting any page in the"
"Not SATD","        # Web socket connection is rejected by Firefox with ""Bad request"" if"
"Not SATD","        # works fine for getting the logs with Firefox 99, so it is explicitly"
"Not SATD","    # Try to get the browser from the Selenium Docker image."
"Not SATD","# @copyright Copyright (c) 2022, Daniel Calvi?o S?nchez (danxuliu@gmail.com)"
"Not SATD","# @license GNU AGPL version 3 or any later version"
"Not SATD","# along with this program.  If not, see <http://www.gnu.org/licenses/>."
"Not SATD","# are implicitly deleted while exiting the Selenium driver may not cleanly quit."
"Not SATD","# but WITHOUT ANY WARRANTY; without even the implied warranty of"
"Not SATD","# GNU Affero General Public License for more details."
"Not SATD","# it under the terms of the GNU Affero General Public License as"
"Not SATD","# License, or (at your option) any later version."
"Not SATD","# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the"
"Not SATD","# published by the Free Software Foundation, either version 3 of the"
"Not SATD","# Talkbuchet instances should be explicitly deleted before exiting, as if they"
"Not SATD","# This program is distributed in the hope that it will be useful,"
"Not SATD","# This program is free software: you can redistribute it and/or modify"
"Not SATD","# You should have received a copy of the GNU Affero General Public License"
"Not SATD","// Allow tests in the src and in tests/unit folders"
"Not SATD","// process `*.js` files with `babel-jest`"
"Not SATD","// TODO: find a way to consolidate this in one place, with webpack.common.js"
"Not SATD","// for everyone"
"Not SATD","// Must be overwritten later on for one-to-one chats."
"Not SATD","// No activity for self-joining and the creator"
"Not SATD","// No user => no activity"
"Not SATD","// Overwrite the room name with the other participant"
"Not SATD","// Race-condition, the room was already reset."
"Not SATD","// so skip loading them just to make sure they can read it."
"Not SATD","// The call activity was generated already if the call is ended"
"Not SATD","// We know the new participant is in the room,"
"Not SATD","//				$room = $this->manager->getRoomById((int) $parameters['room']);"
"Not SATD","//				$roomParameter = $this->getRoom($l, $room);"
"Not SATD","//			$result['params']['call'] = $roomParameter;"
"Not SATD","//			$roomParameter = $this->getFormerRoom($l, (int) $parameters['room']);"
"Not SATD","//			}"
"Not SATD","//			} catch (RoomNotFoundException $e) {"
"Not SATD","//			try {"
"Not SATD","// Register only when Talk Updates are not disabled"
"Not SATD","// add signaling servers if account got active"
"Not SATD","// API or connection issues"
"Not SATD","// do nothing and just try again later"
"Not SATD","// Every hour"
"Not SATD","// Now add the new notification"
"Not SATD","// only credentials have changed"
"Not SATD","// remove signaling servers if account is not active anymore"
"Not SATD","// store new account info"
"Not SATD","// the status has changed"
"Not SATD","// Every 15 minutes"
