"Status","Comment"
"Not SATD","// @nextcloud/webpack-vue-config globals"
"Not SATD","// Desktop build globals"
"Not SATD","// group all style imports at the end"
"Not SATD","// group material design icons"
"Not SATD","// group @nextcloud imports"
"Not SATD","// group @nextcloud/vue imports"
"Not SATD","// group project components"
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD","// TODO: find a way to consolidate this in one place, with webpack.common.js"
"Not SATD","// Allow tests in the src and in tests/unit folders"
"Not SATD",""
"Not SATD",""
"Not SATD","// process `*.js` files with `babel-jest`"
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD","// Edit JS rule"
"Not SATD","// Reuse @nextcloud/webpack-vue-config/rules"
"Not SATD","// Rules from @nextcloud/webpack-vue-config/rules already added by commonWebpackConfig"
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD",""
"Not SATD","//www.gnu.org/licenses/>."
"Not SATD",""
"Not SATD",""
"Not SATD","#"
"Not SATD","# @copyright Copyright (c) 2022, Daniel Calvi?o S?nchez (danxuliu@gmail.com)"
"Not SATD","#"
"Not SATD","# @license GNU AGPL version 3 or any later version"
"Not SATD","#"
"Not SATD","# This program is free software: you can redistribute it and/or modify"
"Not SATD","# it under the terms of the GNU Affero General Public License as"
"Not SATD","# published by the Free Software Foundation, either version 3 of the"
"Not SATD","# License, or (at your option) any later version."
"Not SATD","#"
"Not SATD","# This program is distributed in the hope that it will be useful,"
"Not SATD","# but WITHOUT ANY WARRANTY; without even the implied warranty of"
"Not SATD","# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the"
"Not SATD","# GNU Affero General Public License for more details."
"Not SATD","#"
"Not SATD","# You should have received a copy of the GNU Affero General Public License"
"Not SATD","# along with this program.  If not, see <http://www.gnu.org/licenses/>."
"Not SATD","#"
"Not SATD","        # Web socket connection is rejected by Firefox with ""Bad request"" if"
"Not SATD","        # ""Origin"" header is present; logs show:"
"Not SATD","        # ""The handshake request has incorrect Origin header""."
"Not SATD","        # Do not return until the existing logs were fetched, except if it is"
"Not SATD","# taking too long."
"Not SATD","                # JavaScript timestamps are millisecond based, Python timestamps"
"Not SATD","# are second based."
"Not SATD","# The session must be explicitly quit to remove the temporary files"
"Not SATD","            # created in ""/tmp""."
"Not SATD","        # Headless mode uses a little less memory on each instance, so it is"
"Not SATD","# specially useful when there are several virtual participants."
"Not SATD","            # Error messages like ""Failed to fetch"" or crashes when starting the"
"Not SATD","            # driver are usually caused by not having enough space in ""/dev/shm"""
"Not SATD","            # or in ""/tmp""."
"Not SATD","            # Using ""/dev/shm"" provides better performance, but it is not"
"Not SATD","            # strictly needed, so it can be disabled if there is not enough free"
"Not SATD","# space. The limit is set to 64 MiB just based on the memory usage"
"Not SATD","# observed during some tests."
"Not SATD","        # ""webSocketUrl"" is needed for BiDi; this should be set already by"
"Not SATD","        # default, but just in case."
"Not SATD","        # In Firefox < 101 BiDi protocol was not enabled by default, although it"
"Not SATD","        # works fine for getting the logs with Firefox 99, so it is explicitly"
"Not SATD","# enabled."
"Not SATD","# https://bugzilla.mozilla.org/show_bug.cgi?id=1753997"
"Not SATD","        # Headless mode uses a little less memory on each instance, so it is"
"Not SATD","# specially useful when there are several virtual participants."
"Not SATD","# Real time logs are enabled while the command is being executed."
"Not SATD","# Give it some time to receive the last real time logs before"
"Not SATD","# disabling them again."
"Not SATD","# Real time logs are enabled while the command is being executed."
"Not SATD","# Add an explicit return point at the end of the script if none is"
"Not SATD","# given."
"Not SATD","        # await is not valid in the root context in Firefox, so the script to be"
"Not SATD","# executed needs to be wrapped in an async function."
"Not SATD","# Asynchronous scripts need to explicitly signal that they are finished"
"Not SATD","# by invoking the callback injected as the last argument."
"Not SATD","# https://www.selenium.dev/documentation/legacy/json_wire_protocol/#sessionsessionidexecute_async"
"Not SATD","# Give it some time to receive the last real time logs before"
"Not SATD","# disabling them again."
"Not SATD","# Explicitly assign all the needed functions defined in Talkbuchet.js to"
"Not SATD","# the Window object to be able to access them at a later point."
